DATE,ATNHPIUS06037A
1975-01-01,18.41
1976-01-01,21.40
1977-01-01,25.70
1978-01-01,30.39
1979-01-01,35.68
1980-01-01,41.71
1981-01-01,45.28
1982-01-01,43.26
1983-01-01,47.48
1984-01-01,48.93
1985-01-01,51.72
1986-01-01,55.39
1987-01-01,61.26
1988-01-01,74.21
1989-01-01,92.39
1990-01-01,97.01
1991-01-01,95.36
1992-01-01,93.47
1993-01-01,86.78
1994-01-01,81.75
1995-01-01,78.19
1996-01-01,77.59
1997-01-01,78.77
1998-01-01,86.39
1999-01-01,91.67
2000-01-01,100.00
2001-01-01,109.47
2002-01-01,123.09
2003-01-01,137.60
2004-01-01,169.35
2005-01-01,212.76
2006-01-01,246.75
2007-01-01,246.30
2008-01-01,203.78
2009-01-01,172.57
2010-01-01,171.25
2011-01-01,163.45
2012-01-01,162.41
2013-01-01,177.58
2014-01-01,201.39
2015-01-01,212.67
2016-01-01,228.73
2017-01-01,245.10
2018-01-01,262.03
2019-01-01,270.73
2020-01-01,278.85
