"year","felony","violent_offenses","property_offenses","drug_offenses","sex_offenses","other_offenses","misdemeanor","status_offenses","unemployment","house_price","total"
1993,564307,149935,196189,136943,7935,73305,1079136,24079,9.991667,86.78,2231829
1994,581264,154138,188903,155175,7390,75658,1043525,27934,9.2,81.75,2233987
1995,550964,153803,177205,141394,7080,71482,1025538,31645,8.141667,78.19,2159111
1996,533989,151614,165155,139772,7756,69692,1051453,37093,8.2,77.59,2156524
1997,547550,155018,159980,153099,8874,70579,1033196,39635,6.9,78.77,2167931
1998,508257,144233,145028,141766,9041,68189,1023660,39807,6.5,86.39,2079981
1999,467936,135930,126108,133437,9441,63020,985784,42739,5.9,91.67,1964395
2000,459632,131897,126182,128142,9356,64055,925729,39532,5.416667,100,1884525
2001,472677,136023,134126,124726,9638,68164,907990,40013,5.725,109.47,1893357
2002,487364,132059,138142,131306,9730,76127,903249,35620,6.841667,123.09,1913597
2003,507081,131218,144200,140744,9473,81446,931782,32220,7,137.6,1978164
2004,522781,127058,148913,150305,9246,87259,945562,30740,6.5,169.35,2021864
2005,538166,125725,147692,159944,8809,95996,939046,30998,5.3,212.76,2046376
2006,534460,126342,144781,154468,9107,99762,968408,36496,4.775,246.75,2073824
2007,523276,129433,142006,143692,8745,99400,992588,36036,5.1,246.3,2075176
2008,499628,127978,137187,129080,8644,96739,1010038,33999,7.5,203.78,2043293
2009,466441,123762,126891,118684,8289,88815,970221,30190,11.7,172.57,1933293
2010,448552,116137,119942,121286,7862,83325,918279,27594,12.6,171.25,1842977
2011,419914,109818,106815,115332,7454,80495,825455,21827,12.2,163.45,1687110
2012,429807,107169,110244,120995,7201,84198,792297,16392,11,162.41,1668303
2013,442741,103123,106995,137125,6706,88792,750985,11810,9.8,177.58,1648277
2014,439958,107791,97806,137054,5982,91325,762006,10881,8.2,201.39,1652803
2015,314748,109756,73970,44629,5593,80800,835370,8694,6.7,212.67,1473560
2016,308860,108977,75506,38988,5347,80042,804568,7331,5.3,228.73,1429619
2017,306024,111478,77223,29955,5519,81849,784229,6830,4.8,245.1,1403107
2018,302514,112461,72962,28376,5179,83536,784245,4935,4.7,262.03,1394208
2019,293509,108785,68357,27280,5403,83684,758056,4057,4.6,270.73,1349131
