country,new_cases,new_date_3
Harris,0,2020-03-04
Harris,0,2020-03-05
Harris,4,2020-03-06
Harris,1,2020-03-09
Harris,0,2020-03-10
Harris,0,2020-03-11
Harris,2,2020-03-12
Harris,0,2020-03-13
Harris,3,2020-03-15
Harris,0,2020-03-16
Harris,0,2020-03-17
Harris,0,2020-03-18
Harris,0,2020-03-19
Harris,14,2020-03-20
Harris,2,2020-03-21
Harris,1,2020-03-22
Harris,0,2020-03-23
Harris,27,2020-03-24
Harris,80,2020-03-25
Harris,51,2020-03-26
Harris,18,2020-03-27
Harris,26,2020-03-28
Harris,216,2020-03-29
Harris,81,2020-03-30
Harris,37,2020-03-31
Harris,117,2020-04-01
Harris,167,2020-04-02
Harris,108,2020-04-03
Harris,151,2020-04-04
Harris,178,2020-04-05
Harris,111,2020-04-06
Harris,414,2020-04-07
Harris,337,2020-04-08
Harris,195,2020-04-09
Harris,706,2020-04-10
Harris,214,2020-04-11
Harris,300,2020-04-12
Harris,68,2020-04-13
Harris,118,2020-04-14
Harris,160,2020-04-15
Harris,190,2020-04-16
Harris,209,2020-04-17
Harris,154,2020-04-18
Harris,193,2020-04-19
Harris,170,2020-04-20
Harris,154,2020-04-21
Harris,166,2020-04-22
Harris,68,2020-04-23
Harris,119,2020-04-24
Harris,152,2020-04-25
Harris,146,2020-04-26
Harris,101,2020-04-27
Harris,98,2020-04-28
Harris,159,2020-04-29
Harris,175,2020-04-30
Harris,195,2020-05-01
Harris,195,2020-05-02
Harris,157,2020-05-03
Harris,130,2020-05-04
Harris,129,2020-05-05
Harris,161,2020-05-06
Harris,116,2020-05-07
Harris,133,2020-05-08
Harris,217,2020-05-09
Harris,209,2020-05-10
Harris,75,2020-05-11
Harris,298,2020-05-12
Harris,240,2020-05-13
Harris,205,2020-05-14
Harris,196,2020-05-15
Harris,233,2020-05-16
Harris,76,2020-05-17
Harris,339,2020-05-18
Harris,170,2020-05-19
Harris,224,2020-05-20
Harris,236,2020-05-21
Harris,188,2020-05-22
Harris,243,2020-05-23
Harris,244,2020-05-24
Harris,151,2020-05-25
Harris,74,2020-05-26
Harris,286,2020-05-27
Harris,261,2020-05-28
Harris,228,2020-05-29
Harris,239,2020-05-30
Harris,211,2020-05-31
Harris,56,2020-06-01
Harris,388,2020-06-02
Harris,363,2020-06-03
Harris,241,2020-06-04
Harris,335,2020-06-05
Harris,337,2020-06-06
Harris,483,2020-06-07
Harris,163,2020-06-08
Harris,332,2020-06-09
Harris,320,2020-06-10
Harris,314,2020-06-11
Harris,312,2020-06-12
Harris,324,2020-06-13
Harris,380,2020-06-14
Harris,210,2020-06-15
Harris,504,2020-06-16
Harris,425,2020-06-17
Harris,450,2020-06-18
Harris,395,2020-06-19
Harris,1187,2020-06-20
Harris,1135,2020-06-21
Harris,179,2020-06-22
Harris,1994,2020-06-23
Harris,1374,2020-06-24
Harris,1365,2020-06-25
Harris,1231,2020-06-26
Harris,1238,2020-06-27
Harris,908,2020-06-28
Harris,113,2020-06-29
Harris,1453,2020-06-30
Harris,693,2020-07-01
Harris,1437,2020-07-02
Harris,1249,2020-07-03
Harris,1208,2020-07-04
Harris,597,2020-07-05
Harris,684,2020-07-06
Harris,1179,2020-07-07
Harris,1535,2020-07-08
Harris,701,2020-07-09
Harris,907,2020-07-10
Harris,1081,2020-07-11
Harris,1939,2020-07-12
Harris,1429,2020-07-13
Harris,2001,2020-07-14
Harris,1658,2020-07-15
Harris,1343,2020-07-16
Harris,1599,2020-07-17
Harris,1586,2020-07-18
Harris,1251,2020-07-19
Harris,963,2020-07-20
Harris,1326,2020-07-21
Harris,1385,2020-07-22
Harris,1444,2020-07-23
Harris,1492,2020-07-24
Harris,1203,2020-07-25
Harris,1494,2020-07-26
Harris,1236,2020-07-27
Harris,846,2020-07-28
Harris,1465,2020-07-29
Harris,1466,2020-07-30
Harris,1724,2020-07-31
Harris,2114,2020-08-01
Harris,1920,2020-08-02
Harris,1758,2020-08-03
Harris,1463,2020-08-04
Harris,1438,2020-08-05
Harris,1371,2020-08-06
Harris,1005,2020-08-07
Harris,1264,2020-08-08
Harris,1417,2020-08-09
Harris,1157,2020-08-10
Harris,806,2020-08-11
Harris,942,2020-08-12
Harris,989,2020-08-13
Harris,931,2020-08-14
Harris,1149,2020-08-15
Harris,1124,2020-08-16
Harris,555,2020-08-17
Harris,691,2020-08-18
Harris,928,2020-08-19
Harris,804,2020-08-20
Harris,955,2020-08-21
Harris,1027,2020-08-22
Harris,1087,2020-08-23
Harris,761,2020-08-24
Harris,784,2020-08-25
Harris,881,2020-08-26
Harris,906,2020-08-27
Harris,593,2020-08-28
Harris,1418,2020-08-29
Harris,1561,2020-08-30
Harris,1108,2020-08-31
Harris,838,2020-09-01
Harris,895,2020-09-02
Harris,595,2020-09-03
Harris,734,2020-09-04
Harris,1015,2020-09-05
Harris,928,2020-09-06
Harris,763,2020-09-07
Harris,0,2020-09-08
Harris,514,2020-09-09
Harris,723,2020-09-10
Harris,742,2020-09-11
Harris,948,2020-09-12
Harris,388,2020-09-13
Harris,1023,2020-09-14
Harris,1080,2020-09-15
Harris,357,2020-09-16
Harris,268,2020-09-17
Harris,552,2020-09-18
Harris,477,2020-09-19
Harris,612,2020-09-20
Harris,225,2020-09-21
Harris,507,2020-09-22
Harris,142,2020-09-23
Harris,106,2020-09-24
Harris,204,2020-09-25
Harris,252,2020-09-26
Harris,113,2020-09-27
Harris,172,2020-09-28
Harris,133,2020-09-29
Harris,300,2020-09-30
Harris,141,2020-10-01
Harris,81,2020-10-02
Harris,266,2020-10-03
Harris,380,2020-10-04
Harris,214,2020-10-05
Harris,171,2020-10-06
Harris,192,2020-10-07
Harris,191,2020-10-08
Harris,129,2020-10-09
Harris,248,2020-10-10
Harris,299,2020-10-11
Harris,420,2020-10-12
Harris,223,2020-10-13
Harris,167,2020-10-14
Harris,646,2020-10-15
Harris,211,2020-10-16
Harris,318,2020-10-17
Harris,229,2020-10-18
Harris,219,2020-10-19
Harris,300,2020-10-20
Harris,223,2020-10-21
Harris,637,2020-10-22
Harris,280,2020-10-23
Harris,357,2020-10-24
Harris,732,2020-10-25
Harris,276,2020-10-26
Harris,385,2020-10-27
Harris,170,2020-10-28
Harris,741,2020-10-29
Harris,303,2020-10-30
Harris,518,2020-10-31
Harris,629,2020-11-01
Harris,365,2020-11-02
Harris,409,2020-11-03
Harris,447,2020-11-04
Harris,496,2020-11-05
Harris,635,2020-11-06
Harris,615,2020-11-07
Harris,458,2020-11-08
Harris,650,2020-11-09
Harris,493,2020-11-10
Harris,661,2020-11-11
Harris,325,2020-11-12
Harris,843,2020-11-13
Harris,711,2020-11-14
Harris,624,2020-11-15
