"new_cases","new_date_4"
0,2020-03-04
0,2020-03-05
4,2020-03-06
1,2020-03-09
0,2020-03-10
0,2020-03-11
2,2020-03-12
0,2020-03-13
3,2020-03-15
0,2020-03-16
0,2020-03-17
0,2020-03-18
0,2020-03-19
14,2020-03-20
2,2020-03-21
1,2020-03-22
0,2020-03-23
27,2020-03-24
80,2020-03-25
51,2020-03-26
18,2020-03-27
26,2020-03-28
216,2020-03-29
81,2020-03-30
37,2020-03-31
117,2020-04-01
167,2020-04-02
108,2020-04-03
151,2020-04-04
178,2020-04-05
111,2020-04-06
414,2020-04-07
337,2020-04-08
195,2020-04-09
706,2020-04-10
214,2020-04-11
300,2020-04-12
68,2020-04-13
118,2020-04-14
160,2020-04-15
190,2020-04-16
209,2020-04-17
154,2020-04-18
193,2020-04-19
170,2020-04-20
154,2020-04-21
166,2020-04-22
68,2020-04-23
119,2020-04-24
152,2020-04-25
146,2020-04-26
101,2020-04-27
98,2020-04-28
159,2020-04-29
175,2020-04-30
195,2020-05-01
195,2020-05-02
157,2020-05-03
130,2020-05-04
129,2020-05-05
161,2020-05-06
116,2020-05-07
133,2020-05-08
217,2020-05-09
209,2020-05-10
75,2020-05-11
298,2020-05-12
240,2020-05-13
205,2020-05-14
196,2020-05-15
233,2020-05-16
76,2020-05-17
339,2020-05-18
170,2020-05-19
224,2020-05-20
236,2020-05-21
188,2020-05-22
243,2020-05-23
244,2020-05-24
151,2020-05-25
74,2020-05-26
286,2020-05-27
261,2020-05-28
228,2020-05-29
239,2020-05-30
211,2020-05-31
56,2020-06-01
388,2020-06-02
363,2020-06-03
241,2020-06-04
335,2020-06-05
337,2020-06-06
483,2020-06-07
163,2020-06-08
332,2020-06-09
320,2020-06-10
314,2020-06-11
312,2020-06-12
324,2020-06-13
380,2020-06-14
210,2020-06-15
504,2020-06-16
425,2020-06-17
450,2020-06-18
395,2020-06-19
1187,2020-06-20
1135,2020-06-21
179,2020-06-22
1994,2020-06-23
1374,2020-06-24
1365,2020-06-25
1231,2020-06-26
1238,2020-06-27
908,2020-06-28
113,2020-06-29
1453,2020-06-30
693,2020-07-01
1437,2020-07-02
1249,2020-07-03
1208,2020-07-04
597,2020-07-05
684,2020-07-06
1179,2020-07-07
1535,2020-07-08
701,2020-07-09
907,2020-07-10
1081,2020-07-11
1939,2020-07-12
1429,2020-07-13
2001,2020-07-14
1658,2020-07-15
1343,2020-07-16
1599,2020-07-17
1586,2020-07-18
1251,2020-07-19
963,2020-07-20
1326,2020-07-21
1385,2020-07-22
1444,2020-07-23
1492,2020-07-24
1203,2020-07-25
1494,2020-07-26
1236,2020-07-27
846,2020-07-28
1465,2020-07-29
1466,2020-07-30
1724,2020-07-31
2114,2020-08-01
1920,2020-08-02
1758,2020-08-03
1463,2020-08-04
1438,2020-08-05
1371,2020-08-06
1005,2020-08-07
1264,2020-08-08
1417,2020-08-09
1157,2020-08-10
806,2020-08-11
942,2020-08-12
989,2020-08-13
931,2020-08-14
1149,2020-08-15
1124,2020-08-16
555,2020-08-17
691,2020-08-18
928,2020-08-19
804,2020-08-20
955,2020-08-21
1027,2020-08-22
1087,2020-08-23
761,2020-08-24
784,2020-08-25
881,2020-08-26
906,2020-08-27
593,2020-08-28
1418,2020-08-29
1561,2020-08-30
1108,2020-08-31
838,2020-09-01
895,2020-09-02
595,2020-09-03
734,2020-09-04
1015,2020-09-05
928,2020-09-06
763,2020-09-07
0,2020-09-08
514,2020-09-09
723,2020-09-10
742,2020-09-11
948,2020-09-12
388,2020-09-13
1023,2020-09-14
1080,2020-09-15
357,2020-09-16
268,2020-09-17
552,2020-09-18
477,2020-09-19
612,2020-09-20
225,2020-09-21
507,2020-09-22
142,2020-09-23
106,2020-09-24
204,2020-09-25
252,2020-09-26
113,2020-09-27
172,2020-09-28
133,2020-09-29
300,2020-09-30
141,2020-10-01
81,2020-10-02
266,2020-10-03
380,2020-10-04
214,2020-10-05
171,2020-10-06
192,2020-10-07
191,2020-10-08
129,2020-10-09
248,2020-10-10
299,2020-10-11
420,2020-10-12
223,2020-10-13
167,2020-10-14
646,2020-10-15
211,2020-10-16
318,2020-10-17
229,2020-10-18
219,2020-10-19
300,2020-10-20
223,2020-10-21
637,2020-10-22
280,2020-10-23
357,2020-10-24
732,2020-10-25
276,2020-10-26
385,2020-10-27
170,2020-10-28
741,2020-10-29
303,2020-10-30
518,2020-10-31
629,2020-11-01
365,2020-11-02
409,2020-11-03
447,2020-11-04
496,2020-11-05
635,2020-11-06
615,2020-11-07
458,2020-11-08
650,2020-11-09
493,2020-11-10
661,2020-11-11
325,2020-11-12
843,2020-11-13
711,2020-11-14
624,2020-11-15
1027,2020-11-16
262,2020-11-17
450,2020-11-18
1458,2020-11-19
1275,2020-11-20
1014,2020-11-21
1371,2020-11-22
727,2020-11-23
873,2020-11-24
1281,2020-11-25
1766,2020-11-26
558,2020-11-27
105,2020-11-28
60,2020-11-29
2614,2020-11-30
810,2020-12-01
583,2020-12-02
903,2020-12-03
1734,2020-12-04
557,2020-12-05
1027,2020-12-06
2192,2020-12-07
515,2020-12-08
745,2020-12-09
941,2020-12-10
1266,2020-12-11
1896,2020-12-12
1000,2020-12-13
1416,2020-12-14
1264,2020-12-15
1489,2020-12-16
2265,2020-12-17
991,2020-12-18
1140,2020-12-19
1266,2020-12-20
2097,2020-12-21
2481,2020-12-22
988,2020-12-23
1231,2020-12-24
838,2020-12-25
263,2020-12-26
73,2020-12-27
5340,2020-12-28
1623,2020-12-29
1278,2020-12-30
1754,2020-12-31
1036,2021-01-01
1677,2021-01-02
3402,2021-01-03
2492,2021-01-04
1777,2021-01-05
1927,2021-01-06
1235,2021-01-07
2589,2021-01-08
2164,2021-01-09
3536,2021-01-10
2579,2021-01-11
3619,2021-01-12
1157,2021-01-13
1341,2021-01-14
5614,2021-01-15
3125,2021-01-16
2842,2021-01-17
3276,2021-01-18
1417,2021-01-19
1202,2021-01-20
2263,2021-01-21
2912,2021-01-22
803,2021-01-23
1884,2021-01-24
931,2021-01-25
3186,2021-01-26
2936,2021-01-27
1874,2021-01-28
2130,2021-01-29
2314,2021-01-30
2756,2021-01-31
2683,2021-02-01
1921,2021-02-02
