"occurrence_date","daily_crime"
2020-01-01,879
2020-01-02,658
2020-01-03,816
2020-01-04,743
2020-01-05,755
2020-01-06,731
2020-01-07,711
2020-01-08,735
2020-01-09,733
2020-01-10,744
2020-01-11,702
2020-01-12,662
2020-01-13,705
2020-01-14,701
2020-01-15,717
2020-01-16,705
2020-01-17,802
2020-01-18,778
2020-01-19,662
2020-01-20,699
2020-01-21,655
2020-01-22,652
2020-01-23,710
2020-01-24,698
2020-01-25,697
2020-01-26,718
2020-01-27,817
2020-01-28,657
2020-01-29,696
2020-01-30,705
2020-01-31,755
2020-02-01,797
2020-02-02,706
2020-02-03,723
2020-02-04,803
2020-02-05,779
2020-02-06,699
2020-02-07,724
2020-02-08,663
2020-02-09,718
2020-02-10,770
2020-02-11,669
2020-02-12,740
2020-02-13,694
2020-02-14,785
2020-02-15,732
2020-02-16,757
2020-02-17,751
2020-02-18,793
2020-02-19,709
2020-02-20,728
2020-02-21,729
2020-02-22,729
2020-02-23,729
2020-02-24,748
2020-02-25,704
2020-02-26,677
2020-02-27,648
2020-02-28,707
2020-02-29,795
2020-03-01,799
2020-03-02,706
2020-03-03,735
2020-03-04,649
2020-03-05,666
2020-03-06,741
2020-03-07,707
2020-03-08,725
2020-03-09,737
2020-03-10,702
2020-03-11,693
2020-03-12,738
2020-03-13,718
2020-03-14,734
2020-03-15,766
2020-03-16,743
2020-03-17,613
2020-03-18,645
2020-03-19,643
2020-03-20,622
2020-03-21,553
2020-03-22,598
2020-03-23,651
2020-03-24,600
2020-03-25,636
2020-03-26,597
2020-03-27,642
2020-03-28,641
2020-03-29,611
2020-03-30,615
2020-03-31,559
2020-04-01,747
2020-04-02,614
2020-04-03,667
2020-04-04,518
2020-04-05,572
2020-04-06,653
2020-04-07,703
2020-04-08,667
2020-04-09,703
2020-04-10,796
2020-04-11,700
2020-04-12,603
2020-04-13,661
2020-04-14,678
2020-04-15,642
2020-04-16,571
2020-04-17,659
2020-04-18,659
2020-04-19,553
2020-04-20,654
2020-04-21,661
2020-04-22,676
2020-04-23,655
2020-04-24,643
2020-04-25,621
2020-04-26,602
2020-04-27,604
2020-04-28,611
2020-04-29,605
2020-04-30,602
2020-05-01,781
2020-05-02,659
2020-05-03,632
2020-05-04,678
2020-05-05,681
2020-05-06,712
2020-05-07,742
2020-05-08,762
2020-05-09,720
2020-05-10,665
2020-05-11,707
2020-05-12,696
2020-05-13,676
2020-05-14,733
2020-05-15,713
2020-05-16,678
2020-05-17,665
2020-05-18,693
2020-05-19,758
2020-05-20,779
2020-05-21,748
2020-05-22,793
2020-05-23,785
2020-05-24,750
2020-05-25,695
2020-05-26,783
2020-05-27,768
2020-05-28,775
2020-05-29,808
2020-05-30,782
2020-05-31,755
2020-06-01,803
2020-06-02,746
2020-06-03,710
2020-06-04,779
2020-06-05,800
2020-06-06,686
2020-06-07,716
2020-06-08,738
2020-06-09,644
2020-06-10,693
2020-06-11,684
2020-06-12,740
2020-06-13,716
2020-06-14,746
2020-06-15,737
2020-06-16,719
2020-06-17,760
2020-06-18,709
2020-06-19,698
2020-06-20,679
2020-06-21,718
2020-06-22,651
2020-06-23,649
2020-06-24,715
2020-06-25,765
2020-06-26,695
2020-06-27,713
2020-06-28,685
2020-06-29,778
2020-06-30,692
2020-07-01,778
2020-07-02,646
2020-07-03,675
2020-07-04,661
2020-07-05,727
2020-07-06,727
2020-07-07,676
2020-07-08,666
2020-07-09,666
2020-07-10,668
2020-07-11,700
2020-07-12,666
2020-07-13,667
2020-07-14,633
2020-07-15,656
2020-07-16,674
2020-07-17,675
2020-07-18,638
2020-07-19,621
2020-07-20,704
2020-07-21,592
2020-07-22,595
2020-07-23,669
2020-07-24,696
2020-07-25,711
2020-07-26,648
2020-07-27,701
2020-07-28,700
2020-07-29,651
2020-07-30,700
2020-07-31,694
2020-08-01,720
2020-08-02,695
2020-08-03,683
2020-08-04,745
2020-08-05,644
2020-08-06,744
2020-08-07,705
2020-08-08,752
2020-08-09,693
2020-08-10,704
2020-08-11,673
2020-08-12,709
2020-08-13,711
2020-08-14,740
2020-08-15,716
2020-08-16,699
2020-08-17,766
2020-08-18,677
2020-08-19,802
2020-08-20,730
2020-08-21,749
2020-08-22,679
2020-08-23,743
2020-08-24,688
2020-08-25,700
2020-08-26,656
2020-08-27,662
2020-08-28,712
2020-08-29,709
2020-08-30,695
2020-08-31,687
2020-09-01,769
2020-09-02,658
2020-09-03,719
2020-09-04,690
2020-09-05,775
2020-09-06,673
2020-09-07,640
2020-09-08,690
2020-09-09,669
2020-09-10,672
2020-09-11,692
2020-09-12,682
2020-09-13,687
2020-09-14,735
2020-09-15,706
2020-09-16,719
2020-09-17,723
2020-09-18,683
2020-09-19,692
2020-09-20,662
2020-09-21,638
2020-09-22,550
2020-09-23,669
2020-09-24,706
2020-09-25,685
2020-09-26,709
2020-09-27,720
2020-09-28,691
2020-09-29,757
2020-09-30,713
2020-10-01,733
2020-10-02,742
2020-10-03,704
2020-10-04,737
2020-10-05,768
2020-10-06,734
2020-10-07,713
2020-10-08,721
2020-10-09,761
2020-10-10,797
2020-10-11,712
2020-10-12,794
2020-10-13,766
2020-10-14,677
2020-10-15,782
2020-10-16,713
2020-10-17,714
2020-10-18,765
2020-10-19,717
2020-10-20,713
2020-10-21,705
2020-10-22,690
2020-10-23,743
2020-10-24,749
2020-10-25,718
2020-10-26,689
2020-10-27,691
2020-10-28,703
2020-10-29,619
2020-10-30,678
2020-10-31,656
2020-11-01,824
2020-11-02,767
2020-11-03,710
2020-11-04,705
2020-11-05,718
2020-11-06,768
2020-11-07,713
2020-11-08,780
2020-11-09,726
2020-11-10,660
2020-11-11,694
2020-11-12,732
2020-11-13,749
2020-11-14,746
2020-11-15,696
2020-11-16,659
2020-11-17,681
2020-11-18,683
2020-11-19,670
2020-11-20,725
2020-11-21,731
2020-11-22,748
2020-11-23,757
2020-11-24,707
2020-11-25,674
2020-11-26,585
2020-11-27,642
2020-11-28,612
2020-11-29,694
2020-11-30,706
2020-12-01,772
2020-12-02,732
2020-12-03,756
2020-12-04,760
2020-12-05,727
2020-12-06,752
2020-12-07,696
2020-12-08,757
2020-12-09,677
2020-12-10,739
2020-12-11,733
2020-12-12,769
2020-12-13,652
2020-12-14,701
2020-12-15,634
2020-12-16,677
2020-12-17,724
2020-12-18,696
2020-12-19,700
2020-12-20,668
2020-12-21,676
2020-12-22,783
2020-12-23,705
2020-12-24,633
2020-12-25,534
2020-12-26,640
2020-12-27,656
2020-12-28,720
2020-12-29,723
2020-12-30,660
2020-12-31,647
